 100
 80 120 
 1 12 201 
 1 13 208 
 1 29 208 
 1 34 194 
 1 45 209 
 1 57 195 
 1 73 195 
 2 19 196 
 2 43 202 
 2 58 202 
 2 79 190 
 3 36 198 
 3 51 202 
 4 9 195 
 4 23 200 
 4 44 198 
 4 53 209 
 4 55 196 
 4 62 202 
 4 76 202 
 5 10 193 
 5 29 202 
 6 18 205 
 6 60 197 
 6 70 190 
 7 10 106 
 7 20 92 
 7 43 101 
 7 51 103 
 7 76 98 
 8 80 111 
 9 17 100 
 9 20 92 
 9 45 96 
 9 61 97 
 10 20 96 
 10 64 107 
 11 33 100 
 11 69 105 
 11 72 103 
 12 20 102 
 12 31 85 
 12 57 99 
 12 67 93 
 12 68 107 
 13 22 107 
 13 55 97 
 14 35 89 
 14 54 92 
 15 45 102 
 15 57 106 
 16 27 100 
 16 65 94 
 17 22 94 
 17 46 104 
 17 62 102 
 17 70 96 
 18 71 104 
 19 46 98 
 19 74 103 
 20 54 97 
 20 64 103 
 21 55 106 
 21 60 101 
 24 69 92 
 24 78 88 
 25 65 106 
 26 38 106 
 26 39 105 
 26 46 98 
 26 48 100 
 27 55 98 
 28 30 96 
 28 48 92 
 28 62 103 
 29 30 93 
 29 58 92 
 30 36 96 
 30 52 106 
 32 47 99 
 34 56 99 
 34 64 87 
 34 70 110 
 34 75 100 
 36 57 96 
 37 59 111 
 37 75 97 
 39 76 93 
 40 41 103 
 40 55 96 
 41 77 101 
 42 57 100 
 43 58 96 
 43 68 97 
 44 66 93 
 45 52 103 
 45 63 105 
 46 55 102 
 46 69 94 
 46 75 95 
 46 80 93 
 47 71 96 
 48 80 98 
 49 73 97 
 50 65 102 
 51 55 100 
 51 57 96 
 53 76 90 
 55 65 107 
 56 79 100 
 62 68 90 
 62 70 105 
 67 76 95 
 68 77 102 
 68 79 105 
 69 75 99 
 71 76 97 
 72 77 100 
 72 78 101 
 75 80 95 
 6 
 1 2 3 4 5 6 
 80 632 
 1 7 305 
 1 9 292 
 1 11 298 
 1 15 300 
 1 20 304 
 1 22 199 
 1 24 200 
 1 27 200 
 1 30 200 
 1 34 201 
 1 39 205 
 1 40 200 
 1 45 195 
 1 49 198 
 1 53 194 
 1 58 200 
 1 59 192 
 1 62 203 
 1 66 198 
 1 68 204 
 2 4 299 
 2 7 306 
 2 8 300 
 2 15 305 
 2 17 300 
 2 20 302 
 2 32 198 
 2 35 197 
 2 36 203 
 2 47 192 
 2 48 205 
 2 56 200 
 2 57 198 
 2 60 199 
 2 62 206 
 2 64 204 
 2 65 199 
 3 4 303 
 3 10 298 
 3 11 311 
 3 21 196 
 3 27 199 
 3 32 195 
 3 43 199 
 3 64 194 
 4 8 300 
 4 9 298 
 4 10 299 
 4 11 296 
 4 12 299 
 4 15 304 
 4 18 307 
 4 25 198 
 4 37 195 
 4 38 199 
 4 40 203 
 4 46 193 
 4 60 193 
 4 61 188 
 4 66 202 
 4 71 199 
 4 74 202 
 4 75 193 
 5 16 310 
 5 18 305 
 5 19 311 
 5 31 201 
 5 37 197 
 5 46 197 
 5 55 201 
 5 60 199 
 5 67 206 
 5 74 192 
 5 78 207 
 6 18 300 
 6 33 198 
 6 42 201 
 6 45 192 
 6 51 194 
 6 53 207 
 6 58 209 
 6 68 209 
 6 69 200 
 6 71 209 
 6 74 198 
 6 77 207 
 7 8 302 
 7 15 295 
 7 18 304 
 7 23 195 
 7 37 200 
 7 40 198 
 7 45 199 
 7 48 191 
 7 54 201 
 7 67 210 
 7 68 201 
 7 73 197 
 8 15 305 
 8 24 204 
 8 30 201 
 8 31 202 
 8 32 198 
 8 36 191 
 8 38 202 
 8 40 199 
 8 47 203 
 8 54 198 
 8 56 194 
 8 65 195 
 8 66 201 
 8 68 202 
 8 75 202 
 8 79 193 
 9 15 300 
 9 21 200 
 9 25 201 
 9 27 203 
 9 28 194 
 9 34 200 
 9 38 208 
 9 40 200 
 9 44 200 
 9 46 197 
 9 48 205 
 9 59 201 
 9 66 186 
 9 69 204 
 9 71 198 
 9 73 198 
 9 74 202 
 9 77 214 
 10 17 305 
 10 19 310 
 10 22 203 
 10 26 196 
 10 28 199 
 10 38 195 
 10 39 204 
 10 49 200 
 10 51 200 
 10 61 202 
 10 65 201 
 10 78 195 
 11 23 201 
 11 45 202 
 11 52 208 
 11 54 199 
 11 55 203 
 11 57 202 
 11 60 203 
 11 70 196 
 11 75 201 
 11 76 200 
 11 77 196 
 11 78 193 
 11 80 191 
 12 20 295 
 12 25 193 
 12 26 200 
 12 33 201 
 12 37 205 
 12 41 200 
 12 44 192 
 12 45 195 
 12 49 213 
 12 50 210 
 12 53 204 
 12 58 195 
 12 61 202 
 12 68 213 
 12 71 197 
 12 73 205 
 12 80 195 
 13 17 303 
 13 33 197 
 13 36 202 
 13 42 200 
 13 48 203 
 13 58 198 
 13 60 196 
 13 62 201 
 13 63 199 
 13 65 199 
 13 73 210 
 13 77 197 
 13 78 201 
 13 80 207 
 14 17 292 
 14 22 205 
 14 39 211 
 14 46 195 
 14 52 204 
 14 55 195 
 14 58 201 
 14 64 203 
 14 70 202 
 14 76 197 
 14 80 199 
 15 23 201 
 15 30 191 
 15 32 203 
 15 38 200 
 15 39 210 
 15 41 197 
 15 43 198 
 15 44 196 
 15 46 199 
 15 51 207 
 15 59 200 
 15 63 203 
 15 68 194 
 15 71 204 
 15 80 193 
 16 18 297 
 16 33 203 
 16 45 206 
 16 47 199 
 16 49 204 
 16 50 203 
 16 55 203 
 16 56 205 
 16 69 192 
 16 71 192 
 16 75 206 
 16 77 203 
 16 78 201 
 17 18 305 
 17 23 195 
 17 28 201 
 17 29 202 
 17 37 198 
 17 42 198 
 17 53 200 
 17 56 190 
 17 62 203 
 17 73 206 
 17 76 200 
 17 80 195 
 18 22 203 
 18 28 199 
 18 37 200 
 18 49 203 
 18 54 202 
 18 55 200 
 18 64 197 
 18 66 204 
 18 68 205 
 18 70 203 
 19 22 198 
 19 53 203 
 19 57 188 
 19 60 206 
 19 65 196 
 19 70 203 
 19 73 192 
 19 77 201 
 20 24 196 
 20 27 198 
 20 42 200 
 20 43 202 
 20 64 195 
 20 70 199 
 21 22 103 
 21 23 95 
 21 24 99 
 21 28 112 
 21 31 95 
 21 32 94 
 21 36 98 
 21 41 98 
 21 42 93 
 21 44 99 
 21 63 98 
 21 64 97 
 21 67 96 
 21 71 87 
 21 74 97 
 21 76 91 
 21 78 99 
 21 80 93 
 22 27 97 
 22 29 93 
 22 33 95 
 22 34 102 
 22 35 92 
 22 42 98 
 22 46 93 
 22 67 103 
 22 68 94 
 23 24 104 
 23 28 89 
 23 29 98 
 23 34 99 
 23 37 91 
 23 38 95 
 23 39 98 
 23 42 94 
 23 43 106 
 23 46 101 
 23 67 95 
 23 73 103 
 23 76 110 
 23 77 96 
 23 78 100 
 24 27 106 
 24 29 91 
 24 33 101 
 24 39 98 
 24 42 102 
 24 43 101 
 24 44 99 
 24 46 98 
 24 49 97 
 24 51 107 
 24 53 101 
 24 63 100 
 24 71 96 
 24 76 104 
 24 77 96 
 25 27 101 
 25 34 107 
 25 43 104 
 25 45 102 
 25 46 92 
 25 56 107 
 25 60 90 
 25 65 103 
 25 72 106 
 25 76 102 
 25 79 98 
 26 33 111 
 26 38 100 
 26 62 93 
 26 63 96 
 26 64 109 
 26 65 105 
 27 36 92 
 27 42 98 
 27 43 104 
 27 55 99 
 27 57 100 
 27 59 101 
 27 63 102 
 27 65 95 
 27 66 94 
 27 69 101 
 27 72 110 
 27 77 109 
 27 79 103 
 28 33 101 
 28 45 94 
 28 47 102 
 28 49 103 
 28 51 98 
 28 53 96 
 28 54 106 
 28 58 110 
 28 68 99 
 28 72 92 
 28 73 103 
 29 35 100 
 29 37 96 
 29 38 102 
 29 45 98 
 29 56 96 
 29 57 100 
 29 61 95 
 29 70 111 
 29 73 107 
 29 75 102 
 29 76 104 
 29 79 102 
 29 80 90 
 30 40 97 
 30 42 97 
 30 49 104 
 30 53 92 
 30 64 100 
 30 65 103 
 30 67 88 
 30 71 101 
 30 80 98 
 31 35 103 
 31 36 108 
 31 37 96 
 31 40 101 
 31 44 104 
 31 45 94 
 31 52 101 
 31 53 104 
 31 75 96 
 32 35 104 
 32 36 112 
 32 42 99 
 32 43 97 
 32 44 99 
 32 45 104 
 32 47 96 
 32 48 94 
 32 61 104 
 32 68 103 
 32 70 96 
 32 71 91 
 32 74 107 
 32 78 103 
 33 41 103 
 33 49 98 
 33 62 98 
 33 69 100 
 33 78 96 
 34 36 96 
 34 37 95 
 34 38 99 
 34 51 97 
 34 54 105 
 34 61 99 
 34 68 99 
 35 36 101 
 35 50 90 
 35 51 99 
 35 55 89 
 35 74 97 
 36 37 109 
 36 45 97 
 36 50 87 
 36 54 100 
 36 57 104 
 36 63 105 
 36 68 99 
 36 74 97 
 36 75 108 
 36 78 97 
 36 80 93 
 37 40 103 
 37 43 105 
 37 51 100 
 37 71 97 
 37 72 98 
 37 78 96 
 37 79 108 
 38 45 104 
 38 50 99 
 38 66 99 
 38 69 99 
 38 70 93 
 39 43 99 
 39 45 94 
 39 64 106 
 39 65 100 
 39 69 92 
 39 72 103 
 40 42 97 
 40 46 109 
 40 56 92 
 40 59 94 
 40 64 98 
 40 76 106 
 41 47 107 
 41 51 90 
 41 55 97 
 41 58 95 
 41 61 106 
 41 68 103 
 41 74 98 
 42 46 82 
 42 55 107 
 42 56 104 
 42 59 92 
 42 64 107 
 42 66 102 
 43 47 96 
 43 52 102 
 43 54 101 
 43 56 101 
 43 58 102 
 43 61 106 
 43 63 102 
 43 68 97 
 43 69 94 
 43 78 94 
 44 45 103 
 44 47 94 
 44 49 90 
 44 51 98 
 44 63 90 
 44 64 106 
 44 72 108 
 44 77 102 
 44 79 97 
 45 53 98 
 45 54 95 
 45 60 93 
 45 61 98 
 45 65 93 
 45 67 97 
 45 68 92 
 45 80 96 
 46 47 83 
 46 50 107 
 46 62 96 
 46 65 97 
 46 67 110 
 46 70 100 
 46 71 113 
 46 74 96 
 46 75 104 
 47 54 103 
 47 60 93 
 47 61 99 
 47 72 95 
 48 51 99 
 48 52 96 
 48 59 100 
 48 65 97 
 48 73 102 
 48 78 107 
 48 79 110 
 48 80 98 
 49 53 104 
 49 60 99 
 49 63 103 
 49 65 96 
 49 70 99 
 49 72 95 
 49 73 101 
 49 80 99 
 50 52 119 
 50 54 97 
 50 63 105 
 50 64 103 
 50 65 92 
 50 71 104 
 50 72 102 
 50 79 100 
 51 52 98 
 51 55 106 
 51 58 91 
 51 61 90 
 51 67 101 
 51 69 99 
 51 72 96 
 51 78 93 
 52 56 102 
 52 59 100 
 52 65 101 
 52 72 100 
 52 76 99 
 52 80 97 
 53 55 105 
 53 57 96 
 53 58 99 
 53 61 92 
 53 69 104 
 53 78 103 
 53 80 99 
 54 56 99 
 54 60 96 
 54 64 102 
 54 70 102 
 54 77 102 
 55 65 105 
 55 75 95 
 55 79 108 
 56 57 108 
 56 63 98 
 56 66 101 
 56 76 98 
 56 79 101 
 57 63 98 
 57 65 100 
 57 72 92 
 57 75 91 
 57 80 102 
 58 62 88 
 58 67 99 
 58 74 94 
 58 76 103 
 59 67 100 
 59 68 102 
 59 69 94 
 59 73 94 
 59 75 101 
 59 76 96 
 59 78 101 
 60 63 102 
 60 64 99 
 60 66 92 
 60 67 105 
 60 68 108 
 60 69 95 
 60 71 101 
 60 76 98 
 60 79 94 
 61 63 96 
 61 68 97 
 61 71 101 
 61 76 96 
 62 73 104 
 62 79 99 
 63 76 95 
 63 77 100 
 63 78 104 
 64 65 100 
 64 74 108 
 64 75 99 
 65 72 91 
 65 73 111 
 65 74 104 
 65 75 98 
 65 78 104 
 66 77 98 
 66 78 96 
 67 72 103 
 67 74 102 
 68 74 99 
 68 77 94 
 68 78 104 
 69 70 99 
 69 74 95 
 69 79 101 
 70 71 99 
 70 78 97 
 71 78 99 
 72 73 97 
 73 79 97 
 74 79 101 
 75 79 102 
 77 78 98 
 77 79 98 
 78 80 101 
 79 80 99 
 20 
 1 2 3 4 5 6 
 7 8 9 10 11 12 
 13 14 15 16 17 18 
 19 20 
 80 632 
 1 5 306 
 1 6 300 
 1 8 296 
 1 9 291 
 1 10 291 
 1 14 292 
 1 15 295 
 1 26 206 
 1 27 203 
 1 31 194 
 1 32 199 
 1 33 203 
 1 42 201 
 1 47 199 
 1 49 202 
 1 51 195 
 1 54 201 
 1 55 212 
 1 57 193 
 1 59 191 
 1 62 195 
 1 65 193 
 1 66 195 
 1 70 205 
 1 72 192 
 1 75 192 
 1 77 199 
 1 80 204 
 2 3 307 
 2 11 301 
 2 18 305 
 2 19 311 
 2 27 199 
 2 32 199 
 2 34 203 
 2 35 196 
 2 39 200 
 2 41 202 
 2 45 192 
 2 49 196 
 2 51 203 
 2 56 195 
 2 60 192 
 2 61 198 
 2 76 200 
 2 79 202 
 3 6 300 
 3 10 308 
 3 19 306 
 3 36 208 
 3 41 198 
 3 48 204 
 3 57 199 
 3 59 197 
 3 63 204 
 3 72 197 
 3 73 205 
 3 75 193 
 4 16 295 
 4 22 201 
 4 23 203 
 4 24 197 
 4 40 187 
 4 42 193 
 4 44 201 
 4 53 195 
 4 56 198 
 4 57 203 
 4 60 202 
 4 61 201 
 4 63 194 
 4 69 197 
 4 72 206 
 4 74 195 
 4 80 198 
 5 7 306 
 5 10 309 
 5 18 297 
 5 20 295 
 5 25 203 
 5 30 208 
 5 31 203 
 5 37 208 
 5 47 199 
 5 48 192 
 5 55 202 
 5 60 207 
 5 62 194 
 5 66 197 
 5 74 191 
 5 76 203 
 6 9 298 
 6 22 196 
 6 23 195 
 6 27 196 
 6 28 203 
 6 32 198 
 6 41 203 
 6 43 201 
 6 45 205 
 6 46 196 
 6 57 207 
 6 76 196 
 6 77 198 
 6 80 188 
 7 10 307 
 7 26 199 
 7 27 200 
 7 30 198 
 7 34 196 
